rat,session,trial,group,duration,iti,reinforced,criterion,valid
87,2.0,77,timeout20,16.06600000000003,1.4580000000000837,1.0,10.0,1.0
87,2.0,78,timeout20,16.029999999999973,1.4700000000000273,1.0,10.0,1.0
87,2.0,79,timeout20,17.975999999999885,1.4980000000000473,1.0,10.0,1.0
87,2.0,80,timeout20,19.837999999999965,1.5720000000001164,1.0,10.0,1.0
87,2.0,81,timeout20,25.861999999999853,0.06400000000007822,1.0,10.0,1.0
87,2.0,82,timeout20,0.05600000000004002,20.223999999999933,0.0,10.0,1.0
87,2.0,83,timeout20,0.041999999999916326,0.05400000000008731,0.0,10.0,1.0
87,2.0,84,timeout20,0.2159999999998945,22.08400000000006,0.0,10.0,0.0
87,2.0,85,timeout20,25.375999999999976,1.4580000000000837,1.0,10.0,1.0
87,2.0,86,timeout20,26.52800000000002,3.1800000000000637,1.0,10.0,1.0
87,2.0,87,timeout20,24.579999999999927,1.5080000000000382,1.0,10.0,1.0
87,2.0,88,timeout20,18.957999999999856,1.6720000000000255,1.0,10.0,1.0
87,2.0,89,timeout20,20.557999999999993,1.316000000000031,1.0,10.0,1.0
87,2.0,90,timeout20,14.473999999999933,1.6160000000002128,1.0,10.0,1.0
87,2.0,91,timeout20,23.579999999999927,2.41599999999994,1.0,10.0,1.0
87,2.0,92,timeout20,18.173999999999978,0.08600000000001273,1.0,10.0,1.0
87,2.0,93,timeout20,0.05999999999994543,20.451999999999998,0.0,10.0,1.0
87,2.0,94,timeout20,0.07600000000002183,0.08600000000001273,0.0,10.0,1.0
87,2.0,95,timeout20,1.0879999999999654,19.090000000000146,0.0,10.0,0.0
87,2.0,96,timeout20,30.309999999999945,1.8179999999999836,1.0,10.0,1.0
87,2.0,97,timeout20,21.059999999999945,1.518000000000029,1.0,10.0,1.0
87,2.0,98,timeout20,17.748000000000047,1.36200000000008,1.0,10.0,1.0
87,2.0,99,timeout20,14.9699999999998,0.06200000000012551,1.0,10.0,1.0
87,2.0,100,timeout20,0.06600000000003092,21.27800000000002,0.0,10.0,1.0
87,2.0,101,timeout20,23.567999999999984,1.5460000000000491,1.0,10.0,1.0
87,2.0,102,timeout20,24.163999999999987,1.4079999999999018,1.0,10.0,1.0
87,2.0,103,timeout20,19.930000000000064,1.5239999999998872,1.0,10.0,1.0
87,2.0,104,timeout20,21.64800000000014,2.009999999999991,1.0,10.0,1.0
87,2.0,105,timeout20,19.187999999999874,1.9080000000001291,1.0,10.0,1.0
87,2.0,106,timeout20,14.983999999999924,1.7300000000000182,1.0,10.0,1.0
87,2.0,107,timeout20,16.355999999999767,1.518000000000029,1.0,10.0,1.0
87,2.0,108,timeout20,18.0,1.8200000000001637,1.0,10.0,1.0
87,2.0,109,timeout20,19.59400000000005,2.2280000000000655,1.0,10.0,1.0
87,2.0,110,timeout20,27.221999999999753,1.5620000000003529,1.0,10.0,1.0
87,2.0,111,timeout20,0.3979999999996835,0.016000000000076398,0.0,10.0,1.0
